Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Fashion Designer,Daily - Extended Action,"The user knows how to make useful accessories from mere common leaves. The user may craft one of the consumable Held Items below by activating this ability.
Lucky Leaf - Grass Type Booster for one encounter.
Tasty Reeds - Bug Type Booster for one encounter.
Dew Cup - Same Effect as an Occa Berry.
Thorn Mantle - Same Effect as a Coba Berry.
Chewy Cluster - Same Effect as Leftovers.
Decorative Twine – Roll +2d6 on any Move during a Contest.",,,,"The user knows how to make useful accessories from mere common leaves. The user may craft one of the consumable Held Items below by activating this ability.
Lucky Leaf - Grass Type Booster for one encounter.
Tasty Reeds - Bug Type Booster for one encounter.
Dew Cup - Same Effect as an Occa Berry.
Thorn Mantle - Same Effect as a Coba Berry.
Chewy Cluster - Same Effect as Leftovers.
Decorative Twine – Roll +2d6 on any Move during a Contest."
Fiery Crash,Static,"Whenever the user uses a Move with the Dash keyword, they may either increase that Move’s Damage Base by +2, or change the Move to be Fire-Type if it was not already. All Moves with the Dash keyword performed as Fire-Typed burn their target on 19+, or increase the effect range by +2 if they could already inflict Burn.",,,,"Whenever the user uses a Move with the Dash keyword, they may either increase that Move’s Damage Base by +2, or change the Move to be Fire-Type if it was not already. All Moves with the Dash keyword performed as Fire-Typed burn their target on 19+, or increase the effect range by +2 if they could already inflict Burn."
Filter,Static,"When the user is hit by a Super-Effective attack, the attack deals x1.25 damage instead of x1.5 damage. If the user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. If you have both Solid Rock and Filter, you gain 5 Damage Reduction against Super-Effective Damage. Defensive.",,,,"When the user is hit by a Super-Effective attack, the attack deals x1.25 damage instead of x1.5 damage. If the user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. If you have both Solid Rock and Filter, you gain 5 Damage Reduction against Super-Effective Damage. Defensive."
Flame Body,Scene -  Free Action,The attacking foe becomes Burned.,The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack
The attacking foe becomes Burned."
Flame Tongue,Scene -  Free Action,Connection - Lick. The foe hit with Lick gains an Injury and becomes Burned.,The user hits a foe with Lick.,,,"Trigger - The user hits a foe with Lick.
Connection - Lick. The foe hit with Lick gains an Injury and becomes Burned."
Flare Boost,Static,"While Burned, the user’s Special Attack is raised by 2 Combat Stages. If the user is cured of its Burn, its Special Attack is lowered by 2 Combat Stages.",,,,"While Burned, the user’s Special Attack is raised by 2 Combat Stages. If the user is cured of its Burn, its Special Attack is lowered by 2 Combat Stages."
Flash Fire,Static,"The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type attack, the user gains a +5 Bonus to their next Damage Roll with a Fire-Type Move. Defensive.",,,,"The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type attack, the user gains a +5 Bonus to their next Damage Roll with a Fire-Type Move. Defensive."
Fluffy Charge,Static,"Connection - Charge.  Whenever the user uses Charge, they gain +1 CS to Defense.",,,,"Connection - Charge.  Whenever the user uses Charge, they gain +1 CS to Defense."
Flower Gift,Scene -  Free Action,"If it is Sunny, Flower Gift creates a 4-meter Burst. The user and all of their allies in the burst gain +2 Combat Stages, distributed among any Stat or Stats as they wish.",,,Burst,"Keywords - Burst
If it is Sunny, Flower Gift creates a 4-meter Burst. The user and all of their allies in the burst gain +2 Combat Stages, distributed among any Stat or Stats as they wish."
Flower Power,At Will - Extended Action,"The target gains Flower Power for the rest of the day. While the target has Flower Power, they gain a +1 bonus to Skill Checks. A Pokémon with Flower Power may choose to expend their Flower Power when making an Accuracy Roll with a Grass-Type Move or when making a Save Check to gain a +2 Bonus to that roll. This Ability may target a specific target only once per day.",,A Grass Type Pokemon.,,"Trigger - A Grass Type Pokemon.
Target - A Grass Type Pokemon.
The target gains Flower Power for the rest of the day. While the target has Flower Power, they gain a +1 bonus to Skill Checks. A Pokémon with Flower Power may choose to expend their Flower Power when making an Accuracy Roll with a Grass-Type Move or when making a Save Check to gain a +2 Bonus to that roll. This Ability may target a specific target only once per day."
Flower Veil,Static,Allied Grass-Type Pokémon within 10 meters cannot have Combat Stages lowered. Defensive.,,,,Allied Grass-Type Pokémon within 10 meters cannot have Combat Stages lowered. Defensive.
Flutter,At Will - Shift Action,The user gains +3 Evasion until the end of their next turn and cannot be Flanked.,,,,The user gains +3 Evasion until the end of their next turn and cannot be Flanked.
Flying Fly Trap,Static,The Pokémon takes no damage from Ground Type Moves and Bug Type Moves. Defensive.,,,,The Pokémon takes no damage from Ground Type Moves and Bug Type Moves. Defensive.
Focus,Static,The user gains Last Chance with Fighting.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Fighting."
Forecast,Static,"The user’s Type changes depending on the weather. It changes to Fire Type if it is Sunny, Ice Type if it is Hailing, Water Type if it is Rainy, and Rock Type if there is a Sandstorm. It returns to Normal Type if it is in normal weather or foggy weather. If there are multiple Weather Effects on the field, choose one type for the user to be that corresponds with an existing Weather Effect.",,,,"The user’s Type changes depending on the weather. It changes to Fire Type if it is Sunny, Ice Type if it is Hailing, Water Type if it is Rainy, and Rock Type if there is a Sandstorm. It returns to Normal Type if it is in normal weather or foggy weather. If there are multiple Weather Effects on the field, choose one type for the user to be that corresponds with an existing Weather Effect."
Forest Lord,Scene x2 - Shift Action,"This turn, the user may originate a Grass or Ghost-Typed Move from any fully grown tree within 10 meters. Moves performed this way gain a +2 Bonus on their Accuracy Roll.",,,,Their turn the user may originate a Grass or Ghost Type Move from any fully grown tree within 10 meters.  Moves performed this way gain a +2 Bonus on their Accuracy Rolls.
Forewarn,Scene -  Free Action,"The Move with the highest Damage Dice Roll known by the targeted foe is revealed. If there is a tie, all tied Moves are revealed. The Moves revealed gain a -2 Penalty during Accuracy Checks when used by the target for the rest of the encounter.",,A Pokémon or Trainer,,"Trigger - A Pokémon or Trainer
Target - A Pokémon or Trainer
The Move with the highest Damage Dice Roll known by the targeted foe is revealed. If there is a tie, all tied Moves are revealed. The Moves revealed gain a -2 Penalty during Accuracy Checks when used by the target for the rest of the encounter."
Fox Fire,Scene - Standard Action,"The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend a Fire Wisp as an Interrupt to use the Move Ember against that foe as a Free Action, as if it was on their Move List.",,,,"The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend a Fire Wisp as an Interrupt to use the Move Ember against that foe as a Free Action, as if it was on their Move List."
Freezing Point,Trigger,The user gains Last Chance with Ice.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Ice."
Friend Guard,Scene -  Free Action,The damage is resisted one step further. Defensive.,An adjacent Ally takes Damage,,,"Trigger - An adjacent Ally takes Damage
The damage is resisted one step further. Defensive."
Frighten,Scene - Swift Action,Lower the target's Speed 2 Combat Stages.,,Pokémon or Trainer within 5 meters,,"Target - Pokémon or Trainer within 5 meters
Lower the target's Speed 2 Combat Stages."
Frisk,Scene - Free Action,"The target reveals their Type, Ability, Nature, Level, and name of any Held Items they are currently holding, if any. ",,An Adjacent Pokémon,,"Target - An Adjacent Pokémon
The target reveals their Type, Ability, Nature, Level, and name of any Held Items they are currently holding, if any. "
Frostbite,Static,"The user's damaging Ice Type attacks cause the target to become Slowed on 18+, and the Effect Range for Freeze on these Moves is increased by +1. If the Move does not cause Freezing, it now causes Freezing on a roll of 20.",,,,"The user's damaging Ice Type attacks cause the target to become Slowed on 18+, and the Effect Range for Freeze on these Moves is increased by +1. If the Move does not cause Freezing, it now causes Freezing on a roll of 20."
Fur Coat,Static,The user resists all Physical Attacks one step further. Defensive.,,,,The user resists all Physical Attacks one step further. Defensive.
Gale Wings,Static,The user may use Flying-Type Moves as if they have the Priority keyword.,,,,The user may use Flying-Type Moves as if they have the Priority keyword.
Gale Wings [SuMo Errata],Static,Connection - Quick Attack. The user may use Quick Attack as a Flying-Type Move.,,,Sun/Moon Errata,"Keywords - Sun/Moon Errata
Connection - Quick Attack. The user may use Quick Attack as a Flying-Type Move."
Gardener,Daily x3 - Extended Action,"Increase the Soil Quality of the plant by +1, as if Mulch has been applied.  This may target a Specific Plant only once per day.",,A yielding Plant,,"Target - A yielding Plant
Increase the Soil Quality of the plant by +1, as if Mulch has been applied.  This may target a Specific Plant only once per day."
Gentle Vibe,Scene - Standard Action,"Burst 2.  All targets in the Burst, including the user, have their Combat Stages reset and are cured of any Volatile Status ailments.",,,,"Burst 2.  All targets in the Burst, including the user, have their Combat Stages reset and are cured of any Volatile Status ailments."
